Column1,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,from_CSD,public,DISORDER,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,cluster_assignment
6,ABAYIO_freeONLY,11.39486,4.3226,11.27409,0.949126,1428.73,1505.31,409.494,431.444,0.6636,0.69917,0.0,Mn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
7,ABAYOU_freeONLY,11.27344,4.5108,11.27344,0.979267,1463.42,1494.4,419.062,427.935,0.6638,0.677854,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
42,ACOLEL_freeONLY,4.00255,2.78217,3.89811,1.45481,0.0,0.0,32.9393,22.6416,0.354,0.24333,0.0,Mn,Yes,Mn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
9647,acs.chemmater.5b03723_cm5b03723_si_005_freeONLY,12.72268,7.3388,12.7194,0.677788,2143.35,3162.27,0.0,0.0,0.726,1.07113,0.0,Cu,No,,freeONLY,N,Y,,Y,28/07/2015,10.1021/acs.chemmater.5b03723,"1 SI, 1 Structure",TAKKIC,,,,,,,,,,,,,,,,4
9702,acs.inorgchem.6b01211_ic6b01211_si_002_freeONLY,9.39974,4.52903,9.39954,0.864372,2393.79,2769.4,0.0,0.0,0.6746,0.780451,0.0,Cu,No,,freeONLY,N,Y,,Y,16/05/2016,10.1021/acs.inorgchem.6b01211,"1 SI, 1 Structure",OTIHOQ,,,,,,,,,,,,,,,,4
9710,acs.inorgchem.6b01740_ic6b01740_si_002_freeONLY,15.68052,8.0633,15.68052,0.473321,2336.0,4935.34,0.0,0.0,0.7938,1.67709,0.0,Co,No,,freeONLY,N,Y,,Y,27/06/2016,10.1021/acs.inorgchem.6b01740,"1 SI, 1 Structure",EXERUW,,,,,,,,,,,,,,,,4
9729,acs.inorgchem.6b02407_ic6b02407_si_002_freeONLY,6.36153,3.76503,6.35661,0.999546,1815.84,1816.67,0.0,0.0,0.6046,0.604875,0.0,"Zn,Li",Yes,Zn,freeONLY,N,Y,,Y,01/07/2016,10.1021/acs.inorgchem.6b02407,"1 SI, 1 Structure",KATTOR,,,,,,,,,,,,,,,,4
48,ACUJOZ_manual,11.50806,7.82539,10.51641,0.694288,2343.63,3375.59,0.0,0.0,0.739,1.0644,0.0,"Cu,Cr",Yes,"Cu,Cr",manual,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
56,ADASAB_charged,22.82402,13.49014,22.78048,0.343942,1661.07,4829.51,0.0,0.0,0.8736,2.53996,0.0,Cu,Yes,Cu,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
62,ADATEG_manual,27.33782,13.33904,27.33782,0.238777,1473.42,6170.7,0.0,0.0,0.896,3.75246,0.0,Cu,Yes,Cu,manual,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
114,AFUKIX_freeONLY,8.13042,5.47442,8.06855,0.810556,1962.36,2421.0,0.218757,0.269885,0.6258,0.772063,0.0,Mn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
124,AGOVOJ_freeONLY,13.91201,8.96117,12.41761,0.633526,2133.41,3367.51,0.0,0.0,0.7634,1.205,0.0,In,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
130,AGUVOO_charged,6.0722,4.11181,6.0722,1.16455,1517.34,1302.94,0.0,0.0,0.582,0.499765,0.0,Cu,Yes,Cu,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
138,AHINIP_freeONLY,5.10577,2.92366,4.88107,1.25642,0.0,0.0,351.324,279.622,0.4582,0.364686,0.0,Zn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
141,AHOJUC_freeONLY,3.58211,2.70033,3.58211,2.04926,0.0,0.0,102.403,49.9709,0.4232,0.206514,0.0,V,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
142,AHOKAJ_freeONLY,3.61285,2.77173,3.61285,2.08849,0.0,0.0,83.5648,40.0121,0.418,0.200145,0.0,Fe,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
187,ALOLES_ion_b,5.85254,4.25768,5.80032,2.20818,502.012,227.343,0.475191,0.215196,0.4238,0.191923,0.0,"Bi,K",Yes,"Bi,K",ion_b,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
206,AMIKOX_freeONLY,3.46941,2.69518,3.46727,1.4673,0.0,0.0,15.7447,10.7304,0.4072,0.277517,0.0,Cd,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
213,AMOFAK_freeONLY,6.92233,5.54083,6.90731,0.740906,2875.57,3881.15,0.0,0.0,0.7044,0.950728,0.0,Eu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
236,APACAX_freeONLY,5.65344,4.07573,5.64183,1.00727,1776.16,1763.34,0.75218,0.746751,0.6264,0.621879,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
245,APEBII_freeONLY,10.32114,3.31387,10.3209,1.29652,0.0,0.0,1289.3,994.433,0.5836,0.450127,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
255,AQETUM_freeONLY,5.11237,2.99898,5.10768,1.43617,0.0,0.0,779.861,543.013,0.508,0.353718,0.0,"Mn,Nb",Yes,Mn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
293,ARUCUN_freeONLY,5.23679,2.4383,5.23679,1.17134,0.0,0.0,773.334,660.216,0.4886,0.417131,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
294,ARUDAU_freeONLY,5.48855,2.55093,5.48855,1.14806,0.0,0.0,810.544,706.015,0.4956,0.431687,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
303,ASALIP_freeONLY,4.03121,2.56819,4.02424,1.49984,0.0,0.0,178.934,119.302,0.4626,0.308433,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
350,ATIRUS_freeONLY,3.95531,3.66446,3.95531,2.34742,232.009,98.8354,0.0,0.0,0.2916,0.124221,0.0,Tb,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
355,ATOGEV_freeONLY,5.55487,4.3075,5.55487,1.61783,1414.83,874.522,0.0,0.0,0.6026,0.372475,0.0,Zn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
381,AVESAW_freeONLY,4.33245,2.46317,3.59191,2.03317,0.0,0.0,234.942,115.554,0.4518,0.222214,0.0,Cd,Yes,Cd,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
384,AVETAY_freeONLY,5.64584,4.05596,5.63489,1.01371,1738.43,1714.92,0.32856,0.324118,0.6096,0.601358,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
403,AVUHIJ_freeONLY,3.77342,2.975,3.77304,1.39086,0.0,0.0,38.6118,27.761,0.3982,0.286297,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
438,AXAFAG_freeONLY,5.23439,3.84763,5.23223,3.14102,908.1,289.11,0.0,0.0,0.501,0.159502,0.0,U,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
458,AXUHIL_freeONLY,4.57432,2.69891,4.46529,1.37578,0.0,0.0,193.559,140.691,0.4254,0.309207,0.0,Cd,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
523,BARZOL_charged,5.89133,3.41747,5.84885,1.46073,288.84,197.737,148.923,101.951,0.4446,0.304368,0.0,Ag,Yes,Ag,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
533,BAWRUO_freeONLY,5.80875,3.1456,5.80378,2.95625,0.0,0.0,803.348,271.745,0.497,0.168118,0.0,U,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
542,BAYCUA_freeONLY,4.08538,2.77234,3.7344,1.86201,0.0,0.0,134.477,72.2216,0.4356,0.233941,0.0,Ag,Yes,Ag,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
546,BAZGAM_freeONLY,42.79818,24.24061,42.79818,0.126526,810.47,6405.57,0.0,0.0,0.9392,7.42299,0.0,Cu,Yes,Cu,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
637,BEXQIF_freeONLY,8.04962,5.28644,8.01765,0.683962,2466.36,3605.99,0.0,0.0,0.7172,1.0486,0.0,Fe,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
638,BEXQOL_freeONLY,8.04915,5.31359,8.00625,0.699237,2471.17,3534.09,0.0,0.0,0.7174,1.02598,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
639,BEXQUR_freeONLY,8.07729,5.36514,8.07375,0.705667,2478.07,3511.67,0.0,0.0,0.72,1.02031,0.0,Ni,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
640,BEXRAY_freeONLY,8.11263,5.64009,8.11263,0.639388,2590.56,4051.63,0.0,0.0,0.7392,1.15611,0.0,Mn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
641,BEXREC_freeONLY,8.13134,5.54983,8.13134,0.665352,2617.27,3933.67,0.0,0.0,0.7388,1.11039,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
642,BEXRIG_freeONLY,8.16514,5.60091,8.16514,0.67222,2617.75,3894.19,0.0,0.0,0.7394,1.09994,0.0,Ni,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
643,BEXRUT_freeONLY,4.83185,3.03133,4.82631,1.31051,0.0,0.0,782.163,596.841,0.4806,0.366729,0.0,Ni,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
645,BEXSEE_freeONLY,4.85661,3.09546,4.84805,1.28458,0.0,0.0,800.732,623.344,0.4754,0.370083,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
651,BEXVEH_freeONLY,9.97626,3.79615,9.97626,0.834731,2334.82,2797.09,0.0,0.0,0.704,0.843385,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
653,BEYKEX_freeONLY,5.04379,2.77578,4.98571,2.11649,0.0,0.0,759.367,358.786,0.4776,0.225656,0.0,U,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
657,BIBMEG_freeONLY,5.57416,2.96797,5.5152,1.93225,0.0,0.0,585.171,302.844,0.4216,0.218191,0.0,"Mo,Zn",No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
675,BIJDUV_freeONLY,7.7968,5.66043,7.7968,0.935382,1688.86,1805.53,0.0,0.0,0.5916,0.632469,0.0,"Ti,Cd",No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
687,BIPBAF_freeONLY,10.29487,3.91504,10.25702,0.832638,2438.16,2928.24,0.0,0.0,0.7006,0.841422,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
696,BIRLIZ_freeONLY,4.9162,2.97273,4.90623,1.34988,0.0,0.0,674.416,499.612,0.4986,0.369366,0.0,Ag,Yes,Ag,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
711,BIYXUE_charged,8.39634,6.80286,8.06876,0.891254,1920.98,2155.37,0.0,0.0,0.6496,0.728861,0.0,Dy,No,,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
712,BIYYAL_charged,8.30709,6.8904,8.22432,0.897695,1911.28,2129.09,0.0,0.0,0.6498,0.723854,0.0,Ho,No,,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
714,BIZLUT_freeONLY,8.11197,6.3971,8.1065,0.849879,2006.01,2360.34,0.0,0.0,0.6572,0.773287,0.0,Tb,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
715,BIZMAA_freeONLY,8.82584,6.80117,8.82584,0.838203,2031.61,2423.76,0.0,0.0,0.6668,0.795512,0.0,Dy,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
716,BIZMEE_freeONLY,8.33004,6.47185,8.30636,0.855248,2017.93,2359.47,0.0,0.0,0.661,0.772875,0.0,Ho,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
717,BIZMII_freeONLY,8.09188,6.36998,8.09188,0.865187,2004.99,2317.41,0.0,0.0,0.6566,0.758911,0.0,Er,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
725,BODPAN_freeONLY,11.00022,5.27879,10.96487,0.958547,2210.52,2306.11,0.0,0.0,0.6898,0.719631,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
741,BOLPAU_freeONLY,7.5531,5.10301,7.26907,0.945223,1900.91,2011.07,0.0,0.0,0.6252,0.661431,0.0,"Zn,Si",Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
755,BOSHIC_freeONLY,7.15256,4.44127,7.15256,1.04451,1805.14,1728.22,124.133,118.844,0.6002,0.574626,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
760,BOWDIC_freeONLY,7.01096,4.61744,6.97011,1.01844,1436.32,1410.31,181.244,177.962,0.5764,0.565962,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
774,BOYCEY_auto,12.37213,6.12785,11.76706,0.613909,2396.05,3902.93,0.0,0.0,0.7532,1.22689,0.0,Cu,Yes,Cu,auto,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,4
790,BUCVAY_freeONLY,5.36914,3.4206,5.36914,1.22099,548.684,449.375,0.0,0.0,0.4634,0.379527,0.0,"Co,Zn",Yes,"Co,Zn",freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
